188;"Wendelinstr.";13551
189;"Herrigergasse";13552
190;"Kämpchensweg";13553
191;"Am Lindenweg";13555
192;"Flachsweg";13556
193;"Leinsamenweg";13557
194;"Roggenweg";13558
195;"Vitalisstr. Süd";13560
196;"Widdersdorfer Str.";13561
197;"Technologiepark Köln";13562
198;"Schwindstr.";13571
199;"Böcklinstr.";13572
200;"Junkersdorf";13611
203;"Birkenallee";13654
204;"Kölner Weg";13655
205;"Sterrenhofweg";13656
206;"Beethovenstr.";13657
207;"Südallee";13661
209;"Wiener Weg";13663
211;"Egelspfad";13671
212;"Bf Lövenich";13701
213;"Seithümerstr.";13752
214;"Dieselstr.";13753
215;"Zaunstr.";13755
216;"An der Ronne";13756
217;"Spitzangerweg";13757
218;"Saarstr.";13758
219;"Severinusstr.";13759
220;"Braugasse";13760
221;"Selma-Lagerlöf-Str.";13761
222;"Frechener Weg";13762
223;"Üsdorf";13763
224;"Weiden Sportplatz";13765
225;"Stormstr.";13766
227;"Ostlandstr.";13771
228;"Rosenhügel";17614
229;"Diepenbeekallee";13773
230;"Im Buschfelde";13851
231;"Widdersdorf";13852
232;"Adrian-Meller-Str.";13853
233;"Blaugasse";13854
234;"Stüttgenhof";13911
235;"Marsdorf";13912
236;"Piusstr.";14011
237;"Körnerstr.";14012
238;"Gutenbergstr.";14021
239;"Liebigstr.";14022
241;"Weiden Schulstr.";13709
242;"Schaffrathsgasse";14612
243;"Walter-Pauli-Ring";18050
244;"Willi-Lauf-Allee";13666
245;"Subbelrather Str./Gürtel";14111
246;"Nußbaumerstr.";14112
247;"Lenauplatz";14113
249;"Iltisstr.";14115
250;"Butzweilerstr.";14151
251;"Venloer Str./Gürtel";14211
252;"Eichenstr.";13665
253;"Geisselstr.";14097
254;"Weinsbergstr./Gürtel";14221
255;"Leyendeckerstr.";14212
256;"Borsigstr.";14251
257;"Bf Deutz/Messeplatz";11950
258;"Oskar-Jäger-Str.";14260
259;"Karnevalsmuseum";14261
260;"Vogelsanger Str./Maarweg";14263
261;"Weiden Zentrum";13708
262;"Äußere Kanalstr.";14310
263;"Alter Deutzer Postweg";18492
264;"Akazienweg";14312
265;"Vogelsanger Str.";14351
266;"Häuschensweg";14352
267;"Feltenstr.";14353
268;"Emilstr.";14354
269;"Erlenweg";14355
270;"Mühlenweg";14459
271;"Ossendorf";14450
272;"Rektor-Klein-Str.";14412
273;"Margaretastr.";14413
274;"Alter Flughafen Butzweilerhof";14416
275;"Hugo-Eckener-Str.";14452
276;"Bleriotstr.";14453
277;"Von-Hünefeld-Str.";14454
278;"Mathias-Brüggen-Str.";14455
282;"Wolffsohnstr.";14511
283;"Westfriedhof";14512
284;"Lacher Broch";19464
285;"Kolkrabenweg";14551
286;"Steinkauzweg";14552
287;"Bachstelzenweg";14553
288;"Goldammerweg";14554
289;"Vogelsanger Markt";14555
290;"Falkenweg";14556
291;"Bocklemünd";14611
292;"WDR";14651
293;"Grevenbroicher Str.";14661
294;"Nattermannallee";14662
295;"Dohmengasse";14663
296;"Kochwiesenstr.";19465
297;"Auweilerweg";14665
298;"Ollenhauerring";14671
299;"Nüssenberger Str.";14672
300;"Görlinger Zentrum";14673
301;"Heinrich-Mann-Str.";14674
302;"Buschweg";14664
303;"Neusser Str./Gürtel";15011
304;"Florastr.";15012
305;"Lohsestr.";15013
306;"Nordstr.";15051
307;"Leipziger Platz";15052
308;"Niehler Str.";15053
309;"Kretzerstr.";15054
310;"Bergstr.";15350
311;"Sechzigstr.";15062
312;"Merheimer Platz";15063
313;"Zoo/Flora";15111
314;"Boltensternstr.";15112
315;"Slabystr.";15113
316;"Kinderkrankenhaus";15120
317;"Amsterdamer Str./Gürtel";15121
318;"Bodinusstr.";15151
319;"Riehler Gürtel";15152
320;"Seniorenzentrum Riehl";15153
323;"Xantener Str.";15156
324;"Hahnwaldweg";12663
325;"Geldernstr./Parkgürtel";15201
326;"Escher Str.";15222
327;"Nievenheimer Str.";15251
328;"Ludwigsburger Str.";15252
329;"Frankenthaler Str.";15253
330;"Ebernburgweg";15254
331;"Alzeyer Str.";15255
332;"Am Bilderstöckchen";15257
334;"Robert-Perthel-Str.";15259
335;"Longericher Str. Nord";15260
336;"Mollwitzstr.";15311
337;"Scheibenstr.";15312
338;"Nordfriedhof";15351
339;"Nibelungenplatz";15352
340;"Schmiedegasse";15353
341;"Etzelstr.";15354
342;"Niehl";15411
343;"Niehl Sebastianstr.";15413
345;"Friedrich-Karl-Str./Niehler Str.";15451
346;"Drosselweg";15452
347;"Weidenpescher Str.";15453
348;"Graditzer Str.";15454
349;"Merkenicher Str.";15455
350;"Halfengasse";15456
351;"Niehler Damm";15457
352;"Riehl Betriebshof Nord";15461
353;"Am Waldpark";12664
354;"St.-Joseph-Kirche";12762
355;"Meerfeldstr.";15510
356;"Longericher Str.";15511
357;"Longerich Friedhof";15512
358;"Longerich S-Bahn";15501
359;"Lindweilerweg";15553
360;"Dionysstr.";15554
361;"Dädalusring";15555
362;"Wilhelm-Sollmann-Str.";15611
363;"Altonaer Platz";15612
364;"Herforder Str.";15613
365;"Bremerhavener Str.";15651
366;"Esso";15652
367;"Geestemünder Str.";15711
368;"Fordwerke Süd";15712
369;"Fordwerke Mitte";15713
370;"Fordwerke Nord";15714
372;"Heinering";16051
373;"Pesch Schulstr.";16052
374;"Auweiler";16053
375;"Hermann-Löns-Str.";16054
376;"Chorbuschstr.";16055
377;"Esch";16056
378;"Johannes-Prassel-Str.";16057
379;"Sinnersdorfer Mühle";16058
380;"Pescher Weg";16061
