57;Zollstock Südfriedhof;50.9009689;6.9444945;bahn
57;Zollstock Südfriedhof;50.90063;6.94521;bus
57;Zollstock Südfriedhof;50.90104;6.94447;bus
57;Zollstock Südfriedhof;50.9006755;6.9460753;bus
58;Zollstocksweg;50.9087869;6.9456836;bus
58;Zollstocksweg;50.9092131;6.9454159;bus
59;Roisdorfer Str.;50.9052605;6.9456409;bus
59;Roisdorfer Str.;50.9061031;6.9453167;bus
60;Kendenicher Str.;50.9018436;6.93727;bus
60;Kendenicher Str.;50.9017836;6.93717;bus
60;Kendenicher Str.;50.9022863;6.9369849;bus
60;Kendenicher Str.;50.9016763;6.9365749;bus
61;Oberer Komarweg;50.8988819;6.9320139;bus
61;Oberer Komarweg;50.8985305;6.9312988;bus
62;Brüggener Str.;50.9051627;6.9392499;bus
62;Brüggener Str.;50.90525;6.93915;bus
63;Bernkasteler Str.;50.9066886;6.9367686;bus
63;Bernkasteler Str.;50.9063688;6.9374041;bus
64;Rheinsteinstr.;50.9072226;6.9597519;bus
64;Rheinsteinstr.;50.9073972;6.959782;bus
65;Schönhauser Str.;50.9142927;6.9719348;bahn
66;Marktstr.;50.9116843;6.9644751;bus
66;Marktstr.;50.911592;6.9625814;bus
67;Koblenzer Str.;50.912479;6.9674022;bus
68;Tacitusstr.;50.9092975;6.9698966;bus
69;Mannsfeld;50.9095258;6.9628533;bus
69;Mannsfeld;50.9095368;6.9629837;bus
69;Mannsfeld;50.9096645;6.9618454;bus
69;Mannsfeld;50.9098795;6.9619474;bus
70;Cäsarstr.;50.90628;6.963819;bus
71;Leichweg;50.90408;6.94904;bus
71;Leichweg;50.90438;6.94925;bus
72;Liblarer Str.;50.9002927;6.9513053;bus
72;Liblarer Str.;50.900414;6.9522953;bus
73;Heeresamt;50.8977783;6.951205;bus
73;Heeresamt;50.89744;6.95146;bus
74;Brühler Str./Gürtel;50.90361;6.95807;bus
74;Brühler Str./Gürtel;50.90396;6.95797;bus
74;Brühler Str./Gürtel;50.904734;6.9578638;bus
74;Brühler Str./Gürtel;50.904821;6.9573499;bus
75;Wasserwerk;50.8886179;6.9666208;bus
76;Bayenthalgürtel;50.90634;6.9782024;bahn
76;Bayenthalgürtel;50.9060519;6.9763266;bus
76;Bayenthalgürtel;50.9063079;6.9760609;bus
77;Ranzel Schule;;;
78;Goltsteinstr./Gürtel;50.9045815;6.9719634;bus
78;Goltsteinstr./Gürtel;50.9046825;6.9710038;bus
78;Goltsteinstr./Gürtel;50.9043385;6.9718815;bus
78;Goltsteinstr./Gürtel;50.9043385;6.9718815;bus
79;Marienburger Str.;50.9015513;6.973338;bus
79;Marienburger Str.;50.9010776;6.9738852;bus
80;Marienburg Südpark;50.8983241;6.9754981;bus
81;Bonner Str./Gürtel;50.9036613;6.965578;bus
81;Bonner Str./Gürtel;50.9038887;6.9650139;bus
81;Bonner Str./Gürtel;50.904252;6.964547;bus
81;Bonner Str./Gürtel;50.9043172;6.9643034;bus
82;Gaedestr.;50.9012777;6.9654136;bus
83;Leyboldstr.;50.898642;6.9661327;bus
84;Arnoldshöhe;50.8954327;6.9669499;bus
85;Am Kölnberg;50.862927;6.927954;bus
86;Meschenich Kirche;50.8602844;6.9269007;bus
87;Engeldorfer Str.;50.85903;6.928558;bus
88;Frankenstr.;50.8533749;6.9278502;bus
89;Engeldorfer Hof;50.8538097;6.9211843;bus
90;Kettelerstr.;50.8609982;6.9320899;bus
91;Josef-Lammerting-Allee;50.9460043;6.8875524;bus
92;Höningen Rondorfer Weg;50.880214;6.93688;bus
93;Höningen Siedlung;50.883726;6.939452;bus
94;Bonner Landstr.;50.883101;6.969735;bus
95;Hochkirchen;50.8790945;6.9632501;bus
96;Lerchenweg;50.8772931;6.9603295;bus
97;Rondorf;50.8738703;6.9545441;bus
98;Bödinger Str.;50.8745022;6.9505698;bus
99;Westerwaldstr.;50.8721157;6.9467433;bus
101;Am Steinneuerhof;50.876657;6.9381069;bus
102;Friedhof Steinneuerhof;50.8735994;6.9374634;bus
103;Kirschbaumweg;50.872806;6.993489;bus
104;Mannesmannstr.;50.868788;6.991301;bus
105;Hahnwald;50.870033;6.978002;bus
106;Rodenkirchen Bf;50.8908469;6.9901304;bahn
106;Rodenkirchen Bf;50.8913086;6.9901842;bus
106;Rodenkirchen Bf;50.8913283;6.9902736;bus
107;Siegstr.;50.8833126;6.9946554;bahn
108;Michaelshoven;50.8760005;6.9990581;bahn
109;Maternusplatz;50.892752;6.9937;bus
110;Frankstr.;50.894691;6.989705;bus
111;Rodenkirchen Rathaus;50.891738;6.996592;bus
112;Grimmelshausenstr.;50.890476;7.00225;bus
113;Lülsdorf Hallenbad;;;
114;Uferstr.;50.891769;7.009782;bus
116;Siegfriedstr.;50.887862;6.997874;bus
117;Grüngürtelstr.;50.8846786;7.0055626;bus
118;Richard-Wagner-Str.;;;
119;Adolf-Menzel-Str.;;;
120;Konrad-Adenauer-Str.;50.890443;6.986062;bus
121;Schwabenstr.;50.887141;6.989644;bus
122;Schillingsrotter Str.;50.884488;6.989744;bus
123;Am Neuen Forst;50.8755456;6.9949301;bus
124;Sürth Bf;50.8642043;7.003522;bahn
124;Sürth Bf;50.8646264;7.0041655;bus
125;Wesselinger Str.;50.860387;7.004559;bus
126;Marktplatz Sürth;50.862214;7.007425;bus
127;Kölnstr.;50.864685;7.011725;bus
128;Ernst-Volland-Str.;50.867771;7.017631;bus
129;Hammerschmidtstr.;50.870879;7.020895;bus
130;Ritterstr.;50.872728;7.024359;bus
131;Weißer Hauptstr.;;;
132;Weiß Friedhof;50.877282;7.026846;bus
133;Zum Hedelsberg;50.879031;7.021116;bus
134;Godorf Bf;50.8471128;6.9783575;bahn
135;Pierstr.;50.848595;6.97575;bus
136;Otto-Hahn-Str.;50.8585591;6.9745207;bus
137;Bunsenstr.;50.853597;6.975201;bus
138;Friedhof Godorf;50.850378;6.971058;bus
